AÑO;MES;CCAA;PROVINCIA;CARRETERA;TIPO_ESTACION;ESTACION;IMD_VEHICULO_LIGERO;IMD_VEHICULO_PESADO;IMD_VEHICULO_TOTAL
2019;5;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;389,5419;32,4114;421,9533
2019;6;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2627,8513;198,4049;2826,2562
2019;6;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;708,7152;124,4609;833,1761
2019;6;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;4808,984;650,1671;5459,1511
2019;6;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;808,0653;119,0301;927,0954
2019;6;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;3580,9566;573,7117;4154,6683
2019;6;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;296,3981;46,4512;342,8493
2019;6;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;672,1931;22,7092;694,9023
2019;6;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;31,7124;3,2874;34,9998
2019;6;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;14,4256;0,986;15,4116
2019;6;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;475,0374;37,9952;513,0326
2019;6;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;375,108;33,3621;408,4701
2019;7;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2673,1631;209,3234;2882,4865
2019;7;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;882,6213;135,8557;1018,477
2019;7;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;6621,3916;709,1385;7330,5301
2019;7;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;981,0757;110,7622;1091,8379
2019;7;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;4980,5642;601,5675;5582,1317
2019;7;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;393,7756;46,3727;440,1483
2019;7;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;732,6564;27,2511;759,9075
2019;7;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;38,3036;3,4275;41,7311
2019;7;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;21,1347;1,1146;22,2493
2019;7;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;522,4335;38,8765;561,31
2019;7;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;377,4417;32,8436;410,2853
2019;8;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2585,7371;188,4223;2774,1594
2019;8;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;1069,5501;129,887;1199,4371
2019;8;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;8328,302;632,0904;8960,3924
2019;8;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;1279,0609;125,5897;1404,6506
2019;8;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;6601,537;552,079;7153,616
2019;8;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;527,372;42,7875;570,1595
2019;8;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;1079,8237;35,4832;1115,3069
2019;8;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;42,2172;3,4275;45,6447
2019;8;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;26,0432;1,0503;27,0935
2019;8;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;641,2173;39,7578;680,9751
2019;8;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;308,5566;22,7312;331,2878
2019;9;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2655,4596;203,0063;2858,4659
2019;9;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;737,8804;129,2088;867,0892
2019;9;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;5207,8559;638,9062;5846,7621
2019;9;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;913,1562;120,9433;1034,0995
2019;9;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;4077,0275;562,4508;4639,4783
2019;9;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;316,575;45,8755;362,4505
2019;9;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;744,5787;26,6833;771,262
2019;9;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;31,0862;3,5511;34,6373
2019;9;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;16,419;1,0074;17,4264
2019;9;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;465,3428;37,3097;502,6525
2019;9;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;317,2861;26,7934;344,0795
2019;10;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2677,9984;212,287;2890,2854
2019;10;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;647,6038;140,1966;787,8004
2019;10;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;4004,1282;644,5367;4648,6649
2019;10;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;773,3539;125,4531;898,807
2019;10;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;2977,0184;544,9668;3521,9852
2019;10;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;244,9747;46,6868;291,6615
2019;10;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;616,8393;23,8447;640,684
2019;10;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;25,2117;3,4769;28,6886
2019;10;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;11,982;0,9431;12,9251
2019;10;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;558,9597;44,1645;603,1242
2019;10;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;343,7338;29,6456;373,3794
2019;11;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2512,271;192,9457;2705,2167
2019;11;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;591,0368;130,5653;721,6021
2019;11;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;3341,5151;556,524;3898,0391
2019;11;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;681,314;114,452;795,766
2019;11;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;2442,127;489,5515;2931,6785
2019;11;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;182,8478;37,8152;220,663
2019;11;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;494,2095;22,7092;516,9187
2019;11;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;20,8532;2,7519;23,6051
2019;11;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;10,6102;0,7288;11,339
2019;11;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;580,2096;42,8914;623,101
2019;11;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;359,9827;31,5471;391,5298
2019;12;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2523,4236;183,8989;2707,3225
2019;12;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;605,6194;127,4453;733,0647
2019;12;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;3837,8821;493,1076;4330,9897
2019;12;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;746,7054;104,2026;850,908
2019;12;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;2663,1957;450,4348;3113,6305
2019;12;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;216,2926;41,5575;257,8501
2019;12;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;506,9835;19,5867;526,5702
2019;12;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;20,7049;2,9496;23,6545
2019;12;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;9,6885;0,9003;10,5888
2019;12;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;571,9839;39,6599;611,6438
2019;12;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;355,229;27,7442;382,9732
2020;1;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2454,8709;182,807;2637,6779
2020;1;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;543,8977;113,4053;657,303
2020;1;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;3307,436;543,1888;3850,6248
2020;1;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;611,0028;85,4803;696,4831
2020;1;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;2318,8501;447,7677;2766,6178
2020;1;Principado de Asturias;Asturias;A-8;Permanente;O-72-0;164,3196;25,3061;189,6257
2020;1;Principado de Asturias;Asturias;N-625;Permanente;O-280-0;405,36;10,212;415,572
2020;1;Principado de Asturias;Asturias;N-630;Permanente;O-159-0;17,4603;1,8145;19,2748
2020;1;Principado de Asturias;Asturias;N-634;Permanente;O-160-0;8,9685;0,6915;9,66
2020;1;Principado de Asturias;Asturias;N-634;Permanente;O-161-0;568,3882;41,2691;609,6573
2020;1;Principado de Asturias;Asturias;N-634;Permanente;O-278-0;354,7481;28,8434;383,5915
2020;2;Principado de Asturias;Asturias;A-66;Permanente;O-22-0;2545,4945;193,8815;2739,376
2020;2;Principado de Asturias;Asturias;A-8;Permanente;O-326-0;594,5638;116,7966;711,3604
2020;2;Principado de Asturias;Asturias;A-8;Permanente;O-330-0;3770,0208;558,0057;4328,0265
2020;2;Principado de Asturias;Asturias;A-8;Permanente;O-335-0;638,1297;84,7286;722,8583
2020;2;Principado de Asturias;Asturias;A-8;Permanente;O-473-0;2627,9314;502,2941;3130,2255
