Provincias,Año,Mes,Turistas_totales
A Coruña,2015,7,95818.0
A Coruña,2015,8,105779.0
A Coruña,2015,9,109584.0
A Coruña,2015,10,79313.0
A Coruña,2015,11,23563.0
A Coruña,2015,12,15551.0
A Coruña,2016,1,11094.0
A Coruña,2016,2,13426.0
A Coruña,2016,3,26744.0
A Coruña,2016,4,50084.0
A Coruña,2016,5,101220.0
A Coruña,2016,6,99513.0
A Coruña,2016,7,83214.0
A Coruña,2016,8,100661.0
A Coruña,2016,9,109821.0
A Coruña,2016,10,86702.0
A Coruña,2016,11,25019.0
A Coruña,2016,12,15831.0
A Coruña,2017,1,14186.0
A Coruña,2017,2,15560.0
A Coruña,2017,3,24519.0
A Coruña,2017,4,57887.0
A Coruña,2017,5,100749.0
A Coruña,2017,6,100977.0
A Coruña,2017,7,84469.0
A Coruña,2017,8,92013.0
A Coruña,2017,9,114524.0
A Coruña,2017,10,95022.0
A Coruña,2017,11,30300.0
A Coruña,2017,12,15935.0
A Coruña,2018,1,14014.0
A Coruña,2018,2,16209.0
A Coruña,2018,3,26044.0
A Coruña,2018,4,47970.0
A Coruña,2018,5,88112.0
A Coruña,2018,6,81602.0
A Coruña,2018,7,67530.0
A Coruña,2018,8,83274.0
A Coruña,2018,9,87336.0
A Coruña,2018,10,70710.0
A Coruña,2018,11,26098.0
A Coruña,2018,12,16504.0
A Coruña,2019,1,14508.0
A Coruña,2019,2,14507.0
A Coruña,2019,3,25439.0
A Coruña,2019,4,59056.0
A Coruña,2019,5,91799.0
A Coruña,2019,6,85363.0
A Coruña,2019,7,66236.0
A Coruña,2019,8,75809.0
A Coruña,2019,9,96970.0
A Coruña,2019,10,80071.0
A Coruña,2019,11,26033.0
A Coruña,2019,12,16713.0
A Coruña,2020,1,16962.0
A Coruña,2020,2,19758.0
A Coruña,2020,3,6964.0
A Coruña,2020,4,0.0
A Coruña,2020,5,135.0
A Coruña,2020,6,1485.0
A Coruña,2020,7,11394.0
A Coruña,2020,8,17248.0
A Coruña,2020,9,9193.0
A Coruña,2020,10,7301.0
A Coruña,2020,11,2921.0
A Coruña,2020,12,2012.0
A Coruña,2021,1,1697.0
A Coruña,2021,2,1380.0
A Coruña,2021,3,2879.0
A Coruña,2021,4,2890.0
A Coruña,2021,5,7570.0
A Coruña,2021,6,17566.0
A Coruña,2021,7,31093.0
A Coruña,2021,8,38091.0
A Coruña,2021,9,50405.0
A Coruña,2021,10,52210.0
A Coruña,2021,11,20755.0
A Coruña,2021,12,12458.0
A Coruña,2022,1,10804.0
A Coruña,2022,2,13320.0
A Coruña,2022,3,24794.0
A Coruña,2022,4,57536.0
A Coruña,2022,5,97410.0
A Coruña,2022,6,94573.0
A Coruña,2022,7,82142.0
A Coruña,2022,8,80681.0
A Coruña,2022,9,105761.0
A Coruña,2022,10,94199.0
A Coruña,2022,11,28034.0
A Coruña,2022,12,18050.0
A Coruña,2023,1,16431.0
A Coruña,2023,2,20281.0
A Coruña,2023,3,32053.0
A Coruña,2023,4,80804.0
A Coruña,2023,5,118698.0
A Coruña,2023,6,105707.0
A Coruña,2023,7,81785.0
A Coruña,2023,8,91598.0
A Coruña,2023,9,128113.0
A Coruña,2023,10,112764.0
A Coruña,2023,11,32649.0
A Coruña,2023,12,21797.0
A Coruña,2024,1,15782.0
A Coruña,2024,2,20892.0
A Coruña,2024,3,38544.0
A Coruña,2024,4,87442.0
A Coruña,2024,5,139649.0
A Coruña,2024,6,109641.0
A Coruña,2024,7,85487.0
A Coruña,2024,8,94202.0
A Coruña,2024,9,128835.0
A Coruña,2024,10,113150.0
A Coruña,2024,11,37670.0
A Coruña,2024,12,21274.0
A Coruña,2025,1,17353.0
A Coruña,2025,2,20557.0
A Coruña,2025,3,35226.0
A Coruña,2025,4,81699.0
A Coruña,2025,5,135778.0
A Coruña,2025,6,114384.0
A Coruña,2025,7,86281.0
A Coruña,2025,8,89110.0
A Coruña,2025,9,127957.0
Albacete,1999,1,676.0
Albacete,1999,2,1035.0
Albacete,1999,3,1024.0
Albacete,1999,4,1221.0
Albacete,1999,5,2605.0
Albacete,1999,6,1015.0
Albacete,1999,7,1544.0
Albacete,1999,8,3245.0
Albacete,1999,9,2111.0
Albacete,1999,10,1819.0
Albacete,1999,11,1729.0
Albacete,1999,12,1302.0
Albacete,2000,1,735.0
Albacete,2000,2,1199.0
Albacete,2000,3,1140.0
Albacete,2000,4,1805.0
Albacete,2000,5,1743.0
Albacete,2000,6,1333.0
Albacete,2000,7,1459.0
Albacete,2000,8,2272.0
Albacete,2000,9,1922.0
Albacete,2000,10,1999.0
Albacete,2000,11,1020.0
Albacete,2000,12,1022.0
Albacete,2001,1,1520.0
Albacete,2001,2,1527.0
Albacete,2001,3,1532.0
Albacete,2001,4,2362.0
Albacete,2001,5,2285.0
Albacete,2001,6,1289.0
Albacete,2001,7,1770.0
Albacete,2001,8,2149.0
Albacete,2001,9,1673.0
Albacete,2001,10,1855.0
Albacete,2001,11,1132.0
Albacete,2001,12,1215.0
Albacete,2002,1,1380.0
Albacete,2002,2,1361.0
Albacete,2002,3,1100.0
Albacete,2002,4,1963.0
Albacete,2002,5,1640.0
Albacete,2002,6,2112.0
Albacete,2002,7,1824.0
Albacete,2002,8,2091.0
Albacete,2002,9,1699.0
Albacete,2002,10,2424.0
Albacete,2002,11,1385.0
Albacete,2002,12,1537.0
Albacete,2003,1,1249.0
Albacete,2003,2,1076.0
Albacete,2003,3,1177.0
Albacete,2003,4,1626.0
Albacete,2003,5,2053.0
Albacete,2003,6,1859.0
Albacete,2003,7,2122.0
Albacete,2003,8,2211.0
Albacete,2003,9,2748.0
Albacete,2003,10,2345.0
Albacete,2003,11,1711.0
Albacete,2003,12,1164.0
Albacete,2004,1,924.0
Albacete,2004,2,1022.0
Albacete,2004,3,1902.0
Albacete,2004,4,2176.0
Albacete,2004,5,2467.0
Albacete,2004,6,2173.0
Albacete,2004,7,1829.0
Albacete,2004,8,2559.0
Albacete,2004,9,2568.0
Albacete,2004,10,2942.0
Albacete,2004,11,1885.0
Albacete,2004,12,1294.0
Albacete,2005,1,1172.0
Albacete,2005,2,1118.0
Albacete,2005,3,1318.0
Albacete,2005,4,1682.0
Albacete,2005,5,2331.0
Albacete,2005,6,1846.0
Albacete,2005,7,1585.0
Albacete,2005,8,2314.0
Albacete,2005,9,2207.0
Albacete,2005,10,2028.0
Albacete,2005,11,1514.0
Albacete,2005,12,912.0
Albacete,2006,1,1123.0
Albacete,2006,2,1147.0
Albacete,2006,3,1803.0
Albacete,2006,4,1600.0
Albacete,2006,5,1822.0
Albacete,2006,6,2325.0
Albacete,2006,7,2543.0
Albacete,2006,8,2547.0
Albacete,2006,9,2906.0
Albacete,2006,10,2540.0
Albacete,2006,11,1992.0
Albacete,2006,12,1175.0
Albacete,2007,1,2018.0
Albacete,2007,2,1389.0
Albacete,2007,3,1702.0
Albacete,2007,4,1939.0
Albacete,2007,5,2948.0
Albacete,2007,6,3163.0
Albacete,2007,7,2402.0
Albacete,2007,8,2695.0
Albacete,2007,9,2433.0
Albacete,2007,10,2046.0
Albacete,2007,11,1681.0
Albacete,2007,12,1392.0
Albacete,2008,1,1781.0
Albacete,2008,2,1818.0
Albacete,2008,3,2125.0
Albacete,2008,4,1900.0
Albacete,2008,5,2211.0
Albacete,2008,6,2281.0
Albacete,2008,7,1677.0
Albacete,2008,8,2457.0
Albacete,2008,9,2323.0
Albacete,2008,10,2540.0
Albacete,2008,11,1851.0
Albacete,2008,12,1257.0
Albacete,2009,1,1212.0
Albacete,2009,2,1165.0
Albacete,2009,3,1782.0
Albacete,2009,4,1990.0
Albacete,2009,5,2698.0
Albacete,2009,6,2071.0
Albacete,2009,7,1625.0
Albacete,2009,8,2321.0
Albacete,2009,9,1597.0
Albacete,2009,10,2173.0
Albacete,2009,11,1452.0
Albacete,2009,12,895.0
Albacete,2010,1,1333.0
Albacete,2010,2,1388.0
Albacete,2010,3,1658.0
Albacete,2010,4,2142.0
Albacete,2010,5,3546.0
Albacete,2010,6,2461.0
Albacete,2010,7,2305.0
Albacete,2010,8,2086.0
Albacete,2010,9,2973.0
Albacete,2010,10,2988.0
Albacete,2010,11,1939.0
Albacete,2010,12,1410.0
Albacete,2011,1,1562.0
Albacete,2011,2,1505.0
Albacete,2011,3,2020.0
Albacete,2011,4,2366.0
Albacete,2011,5,2770.0
Albacete,2011,6,2619.0
Albacete,2011,7,2252.0
Albacete,2011,8,1824.0
Albacete,2011,9,2631.0
Albacete,2011,10,2992.0
Albacete,2011,11,1606.0
Albacete,2011,12,1076.0
Albacete,2012,1,1323.0
Albacete,2012,2,1702.0
Albacete,2012,3,2007.0
Albacete,2012,4,2053.0
Albacete,2012,5,2528.0
Albacete,2012,6,2494.0
Albacete,2012,7,1827.0
Albacete,2012,8,2419.0
Albacete,2012,9,2639.0
Albacete,2012,10,2093.0
Albacete,2012,11,1645.0
Albacete,2012,12,1148.0
Albacete,2013,1,1023.0
Albacete,2013,2,1034.0
Albacete,2013,3,2394.0
Albacete,2013,4,1798.0
Albacete,2013,5,2731.0
Albacete,2013,6,1913.0
Albacete,2013,7,1720.0
Albacete,2013,8,1725.0
Albacete,2013,9,2436.0
Albacete,2013,10,2530.0
